Rk,Player,Tm,FantPos,Age,G,GS,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
202,Kendrick Bourne,SFO,WR,30,16,8,55.0,92.1,95.1,73.6,,74,
203,Mike Evans,TAM,WR,32,8,8,55.0,84.8,87.8,69.8,,76,
204,Adonai Mitchell,2TM,WR,23,16,5,55.0,87.9,91.9,71.4,,75,
205,Brian Robinson Jr.,SFO,RB,26,17,0,55.0,62.5,65.5,58.5,,58,
206,Dylan Sampson,CLE,RB,21,15,2,55.0,87.6,94.6,71.1,,57,
207,Ray Davis,BUF,RB,26,17,0,54.0,64.1,67.1,59.1,,59,
208,Xavier Legette,CAR,WR,24,15,12,54.0,89.3,92.3,71.8,,77,
209,Evan Engram,DEN,TE,31,16,2,53.0,102.8,105.8,77.8,,32,
210,David Njoku,CLE,TE,29,12,11,53.0,86.3,89.3,69.8,,31,
211,Ricky Pearsall,SFO,WR,25,9,9,53.0,88.6,91.6,70.6,,78,
212,Tory Horton,SEA,WR,23,8,3,52.0,65.1,68.1,58.6,,79,
213,Tank Bigsby,2TM,RB,24,17,1,51.0,53.8,56.8,52.3,,60,
214,Malik Willis,GNB,QB,26,4,1,51.0,51.2,58.2,51.2,,43,
215,Isaiah Davis,NYJ,RB,23,16,0,50.0,71.2,77.2,60.7,,61,
216,Chris Godwin,TAM,WR,29,9,6,50.0,83.0,86.0,66.5,,81,
217,Darnell Mooney,ATL,WR,28,15,15,50.0,82.3,85.3,66.3,,80,
218,Russell Wilson,NYG,QB,37,6,3,50.0,49.8,58.8,52.8,,44,
219,Jake Browning,CIN,QB,29,5,3,49.0,48.7,59.7,56.7,,45,
220,Cole Kmet,CHI,TE,26,16,15,49.0,78.7,81.7,63.7,,33,
221,Gunnar Helm,TEN,TE,23,16,10,48.0,91.7,94.7,69.7,,34,
222,Jeremy McNichols,WAS,RB,30,17,1,48.0,72.7,79.7,60.2,,62,
223,Ollie Gordon,MIA,RB,21,17,1,47.0,54.1,57.1,50.6,,63,
224,Jonnu Smith,PIT,TE,30,17,7,47.0,85.2,88.2,66.2,,35,
225,Greg Dortch,ARI,WR,27,12,3,46.0,75.1,78.1,60.6,,82,
226,Tyler Higbee,LAR,TE,32,10,8,46.0,71.1,74.1,58.6,,36,
227,Keaton Mitchell,BAL,RB,23,13,0,46.0,55.4,58.4,50.9,,64,
228,Dontayvion Wicks,GNB,WR,24,14,7,46.0,75.8,78.8,60.8,,83,
229,Olamide Zaccheaus,CHI,WR,28,16,5,46.0,84.8,87.8,65.3,,84,
230,Emari Demercado,ARI,RB,26,13,0,45.0,58.3,65.3,51.8,,65,
231,DeAndre Hopkins,BAL,WR,33,17,3,45.0,67.0,70.0,56.0,,85,
232,Mason Taylor,NYJ,TE,21,13,11,45.0,88.9,91.9,66.9,,37,
233,Pat Bryant,DEN,WR,23,15,7,44.0,74.8,77.8,59.3,,86,
234,Justice Hill,BAL,RB,28,10,0,44.0,65.2,68.2,54.7,,66,
235,Mike Gesicki,CIN,TE,30,13,2,43.0,70.7,73.7,56.7,,38,
236,Devin Neal,NOR,RB,22,10,3,43.0,60.0,66.0,51.5,,68,
237,Kalif Raymond,DET,WR,31,15,3,43.0,66.8,69.8,54.8,,88,
238,Sterling Shepard,TAM,WR,32,13,2,43.0,82.0,86.0,62.5,,87,
239,Jaylen Wright,MIA,RB,22,10,1,43.0,48.2,52.2,45.7,,67,
240,Jaylin Noel,HOU,WR,23,17,3,42.0,68.4,71.4,55.4,,89,
241,Darnell Washington,PIT,TE,24,16,13,42.0,73.4,77.4,57.9,,39,
242,Jameis Winston,NYG,QB,31,3,2,42.0,43.3,49.3,44.8,,46,
243,Daniel Bellinger,NYG,TE,25,16,10,41.0,59.6,62.6,50.1,,42,
244,Noah Fant,CIN,TE,28,15,7,41.0,74.8,80.8,57.8,,41,
245,Terrance Ferguson,LAR,TE,22,14,3,41.0,52.1,55.1,46.6,,40,
246,Matthew Golden,GNB,WR,22,14,5,41.0,70.0,73.0,55.5,,92,
247,Van Jefferson,TEN,WR,29,16,7,41.0,70.0,73.0,55.5,,93,
248,Tyler Lockett,2TM,WR,33,17,2,41.0,73.1,76.1,57.1,,91,
249,JuJu Smith-Schuster,KAN,WR,29,17,12,41.0,73.5,76.5,57.0,,94,
250,Devaughn Vele,NOR,WR,28,13,7,41.0,66.3,69.3,53.8,,90,
251,Tyler Huntley,BAL,QB,27,5,2,40.0,40.1,46.1,40.1,,47,
252,Luke McCaffrey,WAS,WR,24,9,0,40.0,51.3,54.3,45.8,,95,
253,Josh Oliver,MIN,TE,28,15,7,40.0,55.0,58.0,47.5,,43,
